Task_id;closestDist;farestDist;avgDist;stvDist;mdnDist;timWind;srvTime;blTWB[0];blTWB[1];blTWB[2];blTWB[3];blTWB[4];blTWB[5];blTWB[6];blTWB[7];blTWB[8];blTWB[9];blTWB[10];blTWB[11];blTWB[12];blTWB[13];blTWB[14];blTWB[15];blTWB[16];blTWB[17];blTWB[18];blTWB[19];blTWB[20];blTWB[21];blTWB[22];blTWB[23];perResUnav;perResWSkills;blServiced
0;0,01;0,7;0,38;0,15;0,36;0,34;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0,75;0
1;0,04;0,81;0,35;0,19;0,37;0,18;0,29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2;0,02;0,7;0,3;0,14;0,29;0,2;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0,75;1
3;0,03;0,75;0,34;0,16;0,35;0,38;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0,75;0
4;0,01;0,7;0,34;0,18;0,32;0,26;0,17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,38;0
5;0,01;0,68;0,34;0,18;0,32;0,41;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0,75;0
6;0,01;0,75;0,38;0,19;0,36;0,39;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,38;1;0
7;0,01;0,7;0,34;0,18;0,32;0,35;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0
8;0,02;0,69;0,33;0,17;0,31;0,27;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0
9;0,01;0,7;0,34;0,18;0,32;0,25;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0,38;0
10;0,01;0,68;0,33;0,18;0,32;0,3;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
11;0,01;0,69;0,33;0,18;0,32;0,19;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0
12;0,06;0,6;0,3;0,14;0,28;0,27;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1
13;0,02;0,68;0,34;0,18;0,32;0,21;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0
14;0,01;0,7;0,34;0,18;0,33;0,37;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0,75;0
15;0,01;0,82;0,45;0,21;0,47;0,37;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,38;0;0
16;0,01;0,75;0,39;0,2;0,37;0,41;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0,25;0
17;0,02;0,73;0,38;0,2;0,36;0,41;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0,38;0
18;0,04;0,56;0,3;0,12;0,29;0,26;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0,38;1
19;0,03;0,75;0,4;0,2;0,39;0,41;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0,75;0
20;0,04;0,91;0,47;0,19;0,48;0,39;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0,38;0;0
21;0,02;0,84;0,34;0,2;0,34;0,37;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0,75;0
22;0,02;0,88;0,38;0,21;0,39;0,35;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0,38;1;0
23;0,1;0,82;0,44;0,18;0,45;0,2;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0
24;0,02;1;0,45;0,23;0,45;0,35;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0,38;0,25;0
25;0,02;0,93;0,38;0,22;0,35;0,27;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0
26;0,01;0,94;0,41;0,23;0,41;0,21;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0,38;0,38;0
27;0,02;0,84;0,34;0,2;0,33;0,41;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0;0
28;0;0,92;0,39;0,23;0,39;0,37;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
29;0,02;0,95;0,41;0,23;0,4;0,18;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0,38;0;0
30;0,02;1;0,45;0,23;0,45;0,37;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0,38;0
31;0;0,92;0,39;0,23;0,39;0,28;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0,5;0
32;0,02;0,91;0,38;0,22;0,37;0,32;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0,38;0
33;0,02;0,86;0,36;0,21;0,37;0,39;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0
34;0;0,92;0,39;0,23;0,39;0,2;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0,38;0,5;0
35;0,02;0,9;0,38;0,22;0,37;0,32;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
36;0,02;0,91;0,37;0,22;0,35;0,28;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0,38;1;0
37;0,03;0,97;0,44;0,23;0,44;0,41;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0,38;0,75;0
38;0,04;0,58;0,27;0,11;0,26;0,18;0,26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1
39;0,03;0,76;0,3;0,16;0,3;0,29;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,25;0
40;0,04;0,65;0,27;0,12;0,26;0,36;0,16;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,25;1
41;0;0,72;0,29;0,16;0,29;0,29;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0,75;0
42;0,02;0,76;0,32;0,17;0,32;0,25;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0,38;0
43;0,02;0,73;0,28;0,15;0,28;0,23;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
44;0,01;0,79;0,37;0,18;0,38;0,37;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0,75;0
45;0,01;0,72;0,3;0,16;0,3;0,27;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,38;0
46;0,03;0,67;0,29;0,14;0,28;0,17;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
47;0,01;0,72;0,3;0,16;0,3;0,39;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0,5;0
48;0,02;0,78;0,31;0,17;0,32;0,18;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0,5;0
49;0;0,73;0,31;0,16;0,31;0,18;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0,12;1;0
50;0,02;0,73;0,29;0,16;0,3;0,2;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
51;0,01;0,72;0,31;0,16;0,31;0,41;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0,5;0
52;0,06;0,61;0,28;0,13;0,27;0,33;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0,38;0
53;0,01;0,75;0,31;0,16;0,31;0,22;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0,25;0
54;0,04;0,8;0,31;0,17;0,31;0,33;0,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0,38;0
55;0,03;0,67;0,27;0,13;0,27;0,24;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
56;0,02;0,82;0,39;0,19;0,4;0,23;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0
57;0;0,74;0,33;0,17;0,33;0,21;0,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0,38;0
58;0,02;0,76;0,32;0,17;0,31;0,28;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
59;0,02;0,75;0,29;0,15;0,27;0,24;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0,75;0
60;0,05;0,8;0,38;0,17;0,38;0,32;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
61;0;0,74;0,33;0,17;0,33;0,19;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0
62;0,05;0,71;0,32;0,16;0,31;0,28;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
63;0,02;0,74;0,34;0,17;0,34;0,18;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0
64;0,02;0,7;0,29;0,15;0,29;0,26;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
65;0,02;0,74;0,31;0,16;0,32;0,22;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0,5;0
66;0;0,72;0,29;0,16;0,29;0,4;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0
67;0,02;0,75;0,33;0,17;0,33;0,21;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
68;0;0,71;0,29;0,16;0,29;0,39;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0,38;0
69;0,02;0,76;0,35;0,17;0,36;0,41;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0
70;0;0,73;0,3;0,16;0,3;0,37;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0,38;0
71;0,01;0,73;0,3;0,16;0,3;0,32;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0,75;0
72;0,02;0,7;0,29;0,15;0,28;0,26;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0,38;0
73;0,04;0,6;0,27;0,1;0,26;0,22;0,22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,38;1
74;0,01;0,84;0,32;0,19;0,26;0,18;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0,75;0
75;0,01;0,86;0,33;0,19;0,28;0,19;0,23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0,25;0
76;0,01;0,89;0,35;0,2;0,3;0,21;0,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0,12;0;0
77;0,01;0,82;0,31;0,19;0,27;0,32;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0,75;0
78;0,01;0,84;0,32;0,19;0,27;0,34;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,38;0,38;0
79;0,01;0,82;0,31;0,18;0,25;0,35;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0,38;0
80;0,01;0,82;0,31;0,19;0,25;0,4;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0,25;0
81;0,01;0,71;0,36;0,19;0,36;0,39;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0,38;0
82;0,01;0,71;0,36;0,19;0,38;0,29;0,11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0
83;0,02;0,72;0,37;0,19;0,39;0,4;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0
84;0,04;0,75;0,39;0,2;0,39;0,38;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0,75;0
85;0,02;0,66;0,33;0,17;0,31;0,3;0,19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0,75;0
86;0,02;0,67;0,33;0,17;0,33;0,25;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1
87;0;0,69;0,34;0,18;0,36;0,28;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1
88;0,01;0,72;0,37;0,19;0,38;0,23;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0,25;0
89;0,02;0,68;0,35;0,17;0,37;0,26;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
90;0,02;0,65;0,32;0,17;0,32;0,26;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0,75;1
91;0,07;0,83;0,46;0,2;0,49;0,22;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0
92;0,02;0,69;0,34;0,18;0,35;0,38;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1
93;0,01;0,7;0,35;0,19;0,36;0,33;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
94;0,02;0,65;0,32;0,17;0,3;0,33;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0,75;0
95;0,01;0,71;0,36;0,19;0,36;0,28;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0
96;0,02;0,69;0,36;0,17;0,39;0,31;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
97;0,02;0,66;0,33;0,17;0,34;0,34;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0,5;1
